Category: All categories,,,
,,,
Region,Milkshake: (4/9/25 - 4/9/26),Hamburger: (4/9/25 - 4/9/26),Breakup: (4/9/25 - 4/9/26)
Alabama,23%,63%,14%
North Carolina,23%,63%,14%
Kentucky,23%,64%,13%
Tennessee,22%,62%,16%
South Carolina,24%,63%,13%
Utah,22%,64%,14%
Ohio,22%,63%,15%
West Virginia,22%,63%,15%
Oklahoma,19%,68%,13%
Missouri,22%,65%,13%
Virginia,22%,63%,15%
Delaware,24%,62%,14%
Arkansas,22%,65%,13%
Illinois,22%,62%,16%
Georgia,23%,62%,15%
Indiana,22%,64%,14%
Mississippi,22%,65%,13%
Nevada,20%,65%,15%
Florida,22%,63%,15%
New Jersey,23%,59%,18%
Texas,22%,64%,14%
Pennsylvania,22%,60%,18%
Colorado,20%,64%,16%
Arizona,20%,65%,15%
Maryland,23%,60%,17%
Louisiana,21%,63%,16%
Idaho,19%,68%,13%
Kansas,19%,66%,15%
California,20%,62%,18%
Rhode Island,22%,62%,16%
Oregon,19%,66%,15%
New Mexico,21%,64%,15%
Iowa,19%,67%,14%
Wisconsin,18%,68%,14%
Michigan,19%,67%,14%
Minnesota,19%,66%,15%
North Dakota,19%,69%,12%
Nebraska,19%,68%,13%
Wyoming,18%,68%,14%
Connecticut,21%,63%,16%
Washington,18%,66%,16%
New York,19%,60%,21%
Massachusetts,20%,61%,19%
New Hampshire,19%,67%,14%
Maine,18%,68%,14%
Alaska,16%,70%,14%
Hawaii,15%,68%,17%
South Dakota,13%,76%,11%
Montana,15%,73%,12%
District of Columbia,17%,64%,19%
Vermont,15%,69%,16%
